operation_name,operation_type,city,electricity_quantity,ghg_emissions_kg,year
Armour Height C.C,Community centres,Toronto,188985.843968,56906.566367962005,2015
Ashtonbee Reservoir Park,Other,Toronto,3234.0395740000004,142.297741256,2015
Station #10,Ambulance Station,Toronto,62101.433153,30336.478915282,2015
Station #11,Ambulance Station,Toronto,37729.152339,23248.169222916,2015
Station #12,Ambulance Station,Toronto,37293.265674,1740.494493486,2015
Station #13,Ambulance Station,Toronto,27234.789012,19262.714468418,2015
Station #14,Ambulance Station,Toronto,63667.513365,14675.49425163,2015
Station #18,Ambulance Station,Toronto,56032.374318,36805.616761782,2015
Station #21,Ambulance Station,Toronto,40169.548567,20766.073667137996,2015
Station #22,Ambulance Station,Toronto,40509.784364,13641.671797726,2015
Station #24,Ambulance Station,Toronto,24346.175678,14075.413180371997,2015
Rouge Water Tank & Valve House,Other,Toronto,392972.02404,17290.769057759997,2015
Rouge Water Tank & Valve House,Other,Toronto,392972.02404,17290.769057759997,2015
Station #28,Ambulance Station,Toronto,41571.922574,21815.297886256,2015
Station #30 & Garage & Office,Ambulance Station,Toronto,209313.661939,106890.701146076,2015
Station #31,Ambulance Station,Toronto,44090.524187,16178.464830267998,2015
Station #32,Ambulance Station,Toronto,23264.490306000003,9904.556348933998,2015
Station #33,Ambulance Station,Toronto,30966.832212999998,13435.693855112,2015
Station #34,Ambulance Station,Toronto,51469.463053,69781.98727689199,2015
Station #37,Ambulance Station,Toronto,47176.696694,13933.531418956001,2015
Station #38,Ambulance Station,Toronto,86900.28533,35965.905976359994,2015
Station #39,Ambulance Station,Toronto,39034.204494,1717.5049977359997,2015
Station #40,Ambulance Station,Toronto,163938.213766,38484.220817024,2015
Station #41,Ambulance Station,Toronto,87294.68369100001,42463.783140894,2015
Station #42,Ambulance Station,Toronto,148074.77453,40646.11303786,2015
Station #45,Ambulance Station,Toronto,68154.777569,35282.197876695995,2015
Station #46,Ambulance Station,Toronto,19383.579129,16248.662238965999,2015
Station #47,Ambulance Station,Toronto,38053.415482000004,7451.177526488,2015
Station #52,Ambulance Station,Toronto,733894.0900229999,195870.047272332,2015
Station #54,Ambulance Station,Toronto,56768.843012,37463.81062244801,2015
Adelaide Street Office,Social housing,Toronto,216654.108888,78886.711839642,2015
Alness Service Yard,Storage,Toronto,172916.193865,90796.67765006,2015
Advance Traffic Management,Other,Toronto,1073786.735028,47246.616341232,2015
Avonshire Park,Other,Toronto,6004.027929999999,264.17722891999995,2015
Avonshire Parkette,Other,North York,551.573741,24.269244604,2015
Amos Waites Park,Other,Toronto,51952.781269,14890.332373946001,2015
Alexander Muir Park Gardens,Other,Toronto,33558.969794000004,2856.369715276,2015
Alexandra Park,Other,Toronto,0,79024.985486166,2015
Bendale Acres,Long-term care,Toronto,3699772.3,1338730.47511658,2015
Banbury C.C.,Community centres,Toronto,111525.29539999999,29329.324842609996,2015
Baycrest Arena,Indoor sports arenas,Toronto,498890.24117600004,162314.06559174397,2015
Bayview Arena,Indoor sports arenas,Toronto,385918.273072,102086.12373642798,2015
BAYVIEW RESERVOIR CARD,Other,Thornhill,37281.211015,1640.3732846599999,2015
Brookbanks,Public libraries,Toronto,102857.81750399999,50906.608366056,2015
Cassandra Park,Other,Toronto,196472.36,8644.783839999998,2015
Black Creek,Public libraries,Toronto,54017.79446600001,8160.399115804,2015
Bellevue Childcare Centre,Other,Toronto,54216.177472,2385.511808768,2015
Beecroft Parking Lot,Parking garages,Toronto,644735.750835,28368.373036739995,2015
Beaches,Public libraries,Toronto,143824.116718,31818.949436222,2015
Beaches R.C,Indoor recreational facilities,Toronto,181474.312122,7984.869733367999,2015
Beaty Parkette,Other,Toronto,6362.50748,279.95032912,2015
Beaumonde Heights Park,Other,Toronto,801.0210649999999,35.24492685999999,2015
Bellbury A.I.R,Other,Toronto,31713.635556,1395.399964464,2015
Bendale,Public libraries,Toronto,102890.709846,24062.761703304,2015
Ben Nobleman,Other,Toronto,4799.852613,211.193514972,2015
Old Eglinton Yard,Storage,Toronto,526445.220833,200052.83779415197,2015
Berner Trail C.C,Community centres,Toronto,110668.61523299999,48484.949068362,2015
Bering Yard,Storage,Toronto,411452.546416,244891.77424495397,2015
Barbara Frum,Public libraries,Toronto,882505.103936,130980.814975894,2015
Brule Gardens Sewage Pumping Station,Sewage Pumping,Toronto,10452.858263,459.925763572,2015
